,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dakiti,"Bad Bunny",5624715,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
2,positions,"Ariana Grande",5604245,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
3,"Mood (feat. iann dior)",24kGoldn,4685467,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",4059514,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
5,"Lonely (with benny blanco)","Justin Bieber",3474677,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
6,Dynamite,BTS,3331271,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
7,"What You Know Bout Love","Pop Smoke",3329334,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
8,34+35,"Ariana Grande",3293347,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
9,Hawái,Maluma,2958768,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
10,"WAP (feat. Megan Thee Stallion)","Cardi B",2950278,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
11,"Blinding Lights","The Weeknd",2890370,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
12,"Holy (feat. Chance The Rapper)","Justin Bieber",2803393,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
13,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2699974,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
14,"Watermelon Sugar","Harry Styles",2650749,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
15,"you broke me first","Tate McRae",2606558,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
16,"Head & Heart (feat. MNEK)","Joel Corry",2474618,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
17,"motive (with Doja Cat)","Ariana Grande",2264173,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
18,"Put Your Records On","Ritt Momney",2162507,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
19,"Relación - Remix",Sech,2150468,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
20,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,2063610,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
21,Heather,"Conan Gray",2059004,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
22,"Laugh Now Cry Later (feat. Lil Durk)",Drake,2025047,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
23,Wonder,"Shawn Mendes",1996944,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
24,"Someone You Loved","Lewis Capaldi",1878919,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
25,"Se Te Nota (with Guaynaa)","Lele Pons",1857561,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
26,"La Tóxica",Farruko,1813408,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
27,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1798303,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
28,"Take You Dancing","Jason Derulo",1788257,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
29,"Levitating (feat. DaBaby)","Dua Lipa",1777162,https://open.spotify.com/track/6OqrJqDMu15AGJHJazg9Nr
30,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1771897,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
31,"Vida de Rico",Camilo,1768247,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
32,"La Nota","Manuel Turizo",1762331,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
33,pov,"Ariana Grande",1756793,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
34,"La Curiosidad","Jay Wheeler",1705701,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
35,"Before You Go","Lewis Capaldi",1700598,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
36,"off the table (with The Weeknd)","Ariana Grande",1663041,https://open.spotify.com/track/7E1jVNoWuemqUryI4FxsVD
37,"Roses - Imanbek Remix","SAINt JHN",1661267,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
38,"Midnight Sky","Miley Cyrus",1634390,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
39,"Una Locura",Ozuna,1634341,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
40,"Breaking Me",Topic,1630558,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
41,Jeans,"Justin Quiles",1604175,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
42,"Ice Cream (with Selena Gomez)",BLACKPINK,1580944,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
43,"Dreams - 2004 Remaster","Fleetwood Mac",1563978,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
44,"Dance Monkey","Tones And I",1559090,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
45,"just like magic","Ariana Grande",1551082,https://open.spotify.com/track/7Dx9Z6Aon1qPS2N0rHSWTe
46,"Ay, DiOs Mío!","KAROL G",1511286,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
47,Golden,"Harry Styles",1489538,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
48,Despeinada,Ozuna,1479700,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
49,"Parce (feat. Justin Quiles)",Maluma,1450767,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
50,"POPSTAR (feat. Drake)","DJ Khaled",1446446,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
51,"Come & Go (with Marshmello)","Juice WRLD",1445934,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
52,"Lovesick Girls",BLACKPINK,1432049,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
53,"safety net (feat. Ty Dolla $ign)","Ariana Grande",1428903,https://open.spotify.com/track/14gkWVFMwdxBMyqBw1wmIg
54,Sofia,Clairo,1427964,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
55,"Mi Niña",Wisin,1414176,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
56,Diamonds,"Sam Smith",1390282,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
57,Daisy,Ashnikko,1374356,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
58,"I CAN'T STOP ME",TWICE,1364256,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
59,"shut up","Ariana Grande",1330617,https://open.spotify.com/track/3ko9jEHNt4O5fjKN65ULJp
60,nasty,"Ariana Grande",1318968,https://open.spotify.com/track/0sci7ppTZFm4mjcH3nu8yO
61,"How You Like That",BLACKPINK,1317224,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
62,"Mood Swings (feat. Lil Tjay)","Pop Smoke",1308916,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
63,"Tattoo - Remix with Camilo","Rauw Alejandro",1306720,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
64,"Tyler Herro","Jack Harlow",1293529,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
65,"Don't Start Now","Dua Lipa",1289837,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
66,"death bed (coffee for your head)",Powfu,1281915,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
67,"La Jeepeta - Remix","Nio Garcia",1239566,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
68,"Stuck with U (with Justin Bieber)","Ariana Grande",1221994,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
69,"Deep End",Fousheé,1209405,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
70,"Rain On Me (with Ariana Grande)","Lady Gaga",1202621,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
71,"my hair","Ariana Grande",1199880,https://open.spotify.com/track/6u7gmPOz7pzzaeR9xSBpsR
72,"Mi Cuarto","Jerry Di",1188708,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
73,Circles,"Post Malone",1181542,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
74,"Wishing Well","Juice WRLD",1170713,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
75,"my ex's best friend (with blackbear)","Machine Gun Kelly",1169811,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
76,"Train Wreck","James Arthur",1169671,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
77,"Blueberry Faygo","Lil Mosey",1166755,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
78,"six thirty","Ariana Grande",1165254,https://open.spotify.com/track/2IKJtXeR5UsaUjZB46fTOK
79,"Adore You","Harry Styles",1160393,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
80,MORE,K/DA,1152712,https://open.spotify.com/track/6juLaduD4STCUDWT0AYun4
81,"SO DONE","The Kid LAROI",1137632,https://open.spotify.com/track/5psEZhQu6lukjhavJo4AbC
82,Memories,"Maroon 5",1135596,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
83,"lovely (with Khalid)","Billie Eilish",1123898,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
84,BICHOTA,"KAROL G",1122828,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
85,"Chica Ideal","Sebastian Yatra",1117757,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
86,obvious,"Ariana Grande",1105475,https://open.spotify.com/track/0q85C1JiECyYIQthz1posA
87,"Lucid Dreams","Juice WRLD",1104031,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
88,Caramelo,Ozuna,1100906,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
89,goosebumps,"Travis Scott",1100766,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
90,"Go Crazy","Chris Brown",1090968,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
91,Señorita,"Shawn Mendes",1073348,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
92,"Mad at Disney","salem ilese",1068019,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
93,"The Box","Roddy Ricch",1061236,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
94,Fever,"Dua Lipa",1058619,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
95,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1044459,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
96,"Forever After All","Luke Combs",1037242,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
97,Falling,"Trevor Daniel",1020648,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
98,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",1013468,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
99,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1012112,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
100,Robbery,"Juice WRLD",1010674,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
101,"Tick Tock (feat. 24kGoldn)","Clean Bandit",1005641,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
102,"west side","Ariana Grande",1005489,https://open.spotify.com/track/1whfVLMKWqAX3uk97VXsNN
103,"love language","Ariana Grande",1002758,https://open.spotify.com/track/6NYtLvyThMT0oALFdJFdzq
104,"Sweater Weather","The Neighbourhood",992924,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
105,"Kings & Queens","Ava Max",986369,https://open.spotify.com/track/1InCpEliLCkWHOBdXW7XSx
106,"Intentions (feat. Quavo)","Justin Bieber",984493,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
107,Falling,"Harry Styles",980033,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
108,Shallow,"Lady Gaga",971555,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
109,Reloj,"Rauw Alejandro",968672,https://open.spotify.com/track/7r9ZhitdQBONTFOiJW5mr8
110,"HIGHEST IN THE ROOM","Travis Scott",965874,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
111,"Spicy (feat. Post Malone)","Ty Dolla $ign",958188,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
112,"bad guy","Billie Eilish",951737,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
113,"Break My Heart","Dua Lipa",945748,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
114,"ily (i love you baby) (feat. Emilee)","Surf Mesa",943159,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
115,"Pretty Savage",BLACKPINK,937395,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
116,Tusa,"KAROL G",922324,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
117,"Say You Won't Let Go","James Arthur",908925,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
118,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",899352,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
119,"Electric Love",BØRNS,896886,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
120,Believer,"Imagine Dragons",895536,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
121,Whoopty,CJ,884187,https://open.spotify.com/track/1RSzyxqtIO4yX3EyiV4zT5
122,"Life Is Good (feat. Drake)",Future,883394,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
123,"Papi Chulo",Octavian,880721,https://open.spotify.com/track/6Juv5N0dNU1imms9c9u1dA
124,"Toosie Slide",Drake,878343,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
125,Azul,"J Balvin",874161,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
126,Dior,"Pop Smoke",874077,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
127,"SICKO MODE","Travis Scott",872962,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
128,"Jocelyn Flores",XXXTENTACION,867586,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
129,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",865791,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
130,"Someone To You",BANNERS,856458,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
131,"7 rings","Ariana Grande",855765,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
132,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,855124,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
133,"All Girls Are The Same","Juice WRLD",852989,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
134,"Martin & Gina","Polo G",841531,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
135,"All I Want for Christmas Is You","Mariah Carey",841019,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
136,"Smile (with The Weeknd)","Juice WRLD",830960,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
137,"Blueberry Eyes (feat. SUGA of BTS)",MAX,827835,https://open.spotify.com/track/6sI8Q7TTJeA9exw6hxEqq3
138,"Party Girl",StaySolidRocky,824519,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
139,"You Got It",Vedo,822974,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
140,ROXANNE,"Arizona Zervas",817201,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
141,"Djadja (feat. Maluma) - Remix","Aya Nakamura",814647,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g
142,"Mr. Right Now (feat. Drake)","21 Savage",812712,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
143,"Ride It",Regard,807900,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
144,"Daddy Issues","The Neighbourhood",806271,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
145,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,804081,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
146,"everything i wanted","Billie Eilish",797442,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
147,"Jerusalema (feat. Nomcebo Zikode)","Master KG",795695,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
148,"Be Alright","Dean Lewis",793820,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
149,"La Luz",Sech,792623,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
150,"Be Kind (with Halsey)",Marshmello,791209,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
151,Perfect,"Ed Sheeran",790725,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
152,Enchule,"Rauw Alejandro",786429,https://open.spotify.com/track/3ThrfRAmijYU098H9q9tAs
153,"hot girl bummer",blackbear,786246,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
154,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,777098,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
155,"GREECE (feat. Drake)","DJ Khaled",774937,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
156,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,769914,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
157,"All of Me","John Legend",768150,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
158,"Quiéreme Mientras Se Pueda","Manuel Turizo",763288,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
159,"Don Don","Daddy Yankee",757811,https://open.spotify.com/track/3kml9ZdpT7UYk1ugkjqOzt
160,"I Don't Care (with Justin Bieber)","Ed Sheeran",754810,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
161,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",746810,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
162,"Shape of You","Ed Sheeran",745621,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
163,SAD!,XXXTENTACION,744952,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
164,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",743080,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
165,"Dancing With A Stranger (with Normani)","Sam Smith",741642,https://open.spotify.com/track/3xgT3xIlFGqZjYW9QlhJWp
166,"Godzilla (feat. Juice WRLD)",Eminem,737825,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
167,"At My Worst","Pink Sweat$",737080,https://open.spotify.com/track/0ri0Han4IRJhzvERHOZTMr
168,"The Business",Tiësto,732797,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
169,"Still Don't Know My Name",Labrinth,728472,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
170,"Are You Bored Yet? (feat. Clairo)",Wallows,727836,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
171,Promiscuous,"Nelly Furtado",725240,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN
172,Runnin,"21 Savage",724543,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
173,"Paradise (feat. Dermot Kennedy)",MEDUZA,724110,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
174,"rockstar (feat. 21 Savage)","Post Malone",718916,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
175,"Without Me",Halsey,714124,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
176,Rojo,"J Balvin",713037,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
177,"when the party's over","Billie Eilish",712068,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
178,"Say So","Doja Cat",711171,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
179,Favorito,Camilo,710935,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
180,"Star Shopping","Lil Peep",710177,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
181,"Got It On Me","Pop Smoke",709594,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
182,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",705515,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
183,PRACTICE,DaBaby,699467,https://open.spotify.com/track/4Z5FyQlevoHoa5FsIVKZju
184,"24 (feat. Lil Baby)","Money Man",695476,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5
185,"Bohemian Rhapsody - 2011 Mix",Queen,693127,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
186,"10,000 Hours (with Justin Bieber)","Dan + Shay",692728,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
187,"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",KHEA,692530,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
188,Angeklagt,"Bonez MC",691780,https://open.spotify.com/track/5FLkxbVtsn88ejcLR62L4T
189,"Get You The Moon (feat. Snøw)",Kina,690292,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
190,"Blood // Water",grandson,687608,https://open.spotify.com/track/0AUyNF6iFxMNQsNx2nhtrw
191,"In Your Eyes","The Weeknd",687027,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
192,"Beautiful People (feat. Khalid)","Ed Sheeran",686166,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
193,"Hasta Que Dios Diga","Anuel AA",682626,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
194,"SLOW DANCING IN THE DARK",Joji,681795,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
195,"thank u, next","Ariana Grande",681718,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
196,Photograph,"Ed Sheeran",678798,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
197,Nada,"Cali Y El Dandee",676505,https://open.spotify.com/track/4K8cyoCDovlc4FvtUr2Hfx
198,"Sunday Best",Surfaces,675811,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
199,"After Party","Don Toliver",674459,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
200,"Bet You Wanna (feat. Cardi B)",BLACKPINK,674351,https://open.spotify.com/track/7iAgNZdotu40NwtoIWJHFe
